	kippen	mijn	vriend	bloemen	spinnen	machines	werk	op	schip	kregen	beschimmeld	brood	timmerman	splinter	vinger	fabriek	vier	bier	twee	drie	hij	knuppel	ik	knie	gezien	ragebol	pet	paddestoel	kerel	brede	stenen	breder	breedste	standbeeld	duivel	gebleven	meester	zee	graag	keelpijn	steel	bezem	neen	geroepen	peer	rijp	geld	ver	brengen	vrouw	zwemmen	sterk	bed	optillen	metselaar	springen	boterham	vader	zes	jaar	school	laten	gaan	water	potten	zijn	veel	maart	nog	koud	kaars	geeft	licht	paard	tegen	zwaluwen	kaas	motor	dag	avond	jongetje	barst	brief	hart	spannen	nieuwe	kar	zoon	koning	ook	geweest	rozen	lange	woord	kindje	was	dochtertje	bos	ladder	mond	droog	dorst	weg	krom	liedje	goed	kelder	voor	moest	ossenbloed	drinken	broer	moe	karnemelk	dun	zuur	put	uur	Italie	bergen	vuur	spuwen	duwen	hebben	stuk	brug	veulen	komen	deur	naaien	gras	brouwer	bakken	je	eieren	krijgen	markt	waren	vijf	eikels	hooi	is	groen	boompje	wijn	huis	melk	spuit	koe	koster	kruiwagen	buigen	Duitsers	blauw	geslagen	saus	flauw	sneeuw	stad	doen	dopen	doopvont	soldaten	dorsen	binden	gebonden
Houthulst		m@	mO:\t				w{rk	Y_op_v	SxI_op	krI@G_-n		bro_r:\@_Xt			viN@r@		vi:\r	bi:\r	twI@	dri	j@	stOk	k	k_oni_F:\@_X	G_-@zi_F:\n				kE_o:\rl_=		stI@n_=	brEdr@			lysIfE:\r	G_-@ble:\vn	mI@st@r	zI@	G{r@_Xn		st{:\rt_v	bY_ost_Xl@		G_-@ro:\pm	p{_r:\r	rip@	G_-{:\ld	f{r@	briN:		zw{m_=		b{d			spriN:		vO:\d@r	z{z	jO:\r	Sxo:\l@	lO:\tn	G_-O:\n		pOtn	zin	fe:\l@	mO:\rt	nOx	kut	k{:\s@	G_-ed	lY_oxt	p{:\rt_v / p{:\rt	te:\G_-n		kO:\s		dAx	A_r:\vnt		bOst	brif_v	{rt@	spAn_=	niw@	kAr@	z2:\n@	k2:\niNk	o_r:\@_Xk	x@wI_ost		lAN@	wOrt	kin@j@	wOz	dOxt@rtS@	bY_os	lI@r@	mu_ond	dro_r:\@_XG@	d9st	w{G	krOm	li_F:\@_Xj@	xu_F:\t	k{:\l_Xd@r	fO	mOst		triNkn	bru:\r@	mu:\@_X		dI_on	z2:\r	pI_ot	2:\r@			vi:\r		dyw_~	{_~n_X	stI_ok	brY_oG_-@	kAxtl_=	kOm_=	d2:\r		G_-As		bA?n	j@	Ei_Xj@rs	kriG_-n		wO:\rn	vyf		o_r:\i_X	I_os	xru_F:\n@	bOmtS@	win	yz	m{:\l_Xk	spEi_Xt	ku:\@_X	kOst@r		plo_r:\i_Xn		blA_rw	G_-@sle:\G_X_-n	sU:\l_Xs	flUw	snI@w		du_F:\n	do_o:\pm			d{Sxn	bind_Xn	
Gits	ki_F:\k_X_onz	m@n@	vri_F_o:\nd	blUm_=	spI_on_=:\	mAsi_on_=		Y_op_v	Sx_-I_op	krI_r:\@_XG_-@_~	G_-@vI_onI_oG_-	bro_o:\@_Xt	t{m@rmA_~n	spl{_~:\n_Xt@r	viN@r@	fAbrik@	vi:r	bi:r	twE	dri	j@	stOk	k	k_Xni:\	G@zi:n	kU_ob@jU:\G_X_-@_Xr@	klAk@	pAd@stu_F:\l	kE_o:\rl	brI:\@_X	stI_~:\@_X_~s	brE_rd@_Xr@	brE_rtst@	stA_~:\m_Xbe_o:\lt	ly_osifE:r	x_-@ble:v_~	mI_r:\@_Xst@r	zI:\@_X	G_-E:rn	@zI_r:\@_Xr@ke_o:\l@	stE_o:rt_v	b9st_Xl@	nE_~nt	G_-@ro:\pm	pE_o:r@	rip@	G_-{:\ld	f{r@	briN:	wy_of	zw{m_=	st{:rk	b{d	I_op{fn	m{tsnO_r:\r	spriN:	sty_ot@	vU_o:\@_Xd@r	z{z	jU_o:\r	s_jx_-o:\l@	lU_o:\@_Xtn:\	G_-U_~:\n	wU:\@_Xt@_Xr@	pOtn	zin	fe:\l@	mU_o:\@_Xrt	xOx	ku_od	kE_r:\s@	G_-Ev		pE_r:rt	te_o:\G_-@_~	zwU_r:\mtS@s / zwU_r:\m_=	kO_r:\@_Xs	mOt9:r		U:\vnt	ju_oNn@	bOst	bri:f_v	{:rt@	spA_~n	ni:\w@	kAr@	s2_o:\n@	ko_o:\niNk	Uk	x_-@wI_ost	ro_o:\@_Xzn	lAN@	wUrt	ki_~n_Xd	wUz	me_o:\i_XSj_X@	b9s	lI_r:\@_Xr@	mu_~_ond	dro_r:\@_XG_-@	d9st	w2_o:G_-	s_jx_-I_r:\@_Xf	li:\@_XG_-@	x_-u_F:\t	k{:\l_Xd@_Xr@	fO	mOst@	Os@blu_F:\t	triNkn	bru:r@	mu:\@_X	kE_r:\r@m{:l_Xk	dI_on	z2_o:r	pI_ot	2_o:r@	itU:\li_Xj@	b{:rG_-n	vi:r	spy_oG_-@_~	dy:\w_~	E_~:\n	stI_ok	brY_oG_-@	kAx_-tl_=	kUm	d2_o:r	nU:\i_~_X	G_-{s	brUw@_Xr@	bA?n	G_-@	E:\j@rs	kriG_-@_~_~n	mArt	wU_o:\@_Xrn	vy_of	I_r:\@_X?ls	o_o:\i_Xj	I_oz	x_-ru_F:\n@	bo_r:\@_XmtS_X@	wi_on	y_oz	m{:\l_Xk	spE:\i_Xt	ku_o:\	kOst@_Xr@	kOrt@wU:\G_-n		dy_ots_jx_-@	blUw	G_-@sle:\G_-@_~	sU:\ls	flUw	snI_r:\@_X	ste_o:	du_F:\n	do:\pm	dOpfu_~_on_Xt@	sU_oldO:tn	d{s_jx_-n	bin_=:\	G_-@bu_~_ond_X_on
Roeselare		mi_on@	vrint				w{:\rk	I_op_v	sxE_rp	krI@Gn		bru_o:\U_Xt			viN@r@		fi:r	bi:r	twI@	dri_F:\	j@	k_-nY_opl@ / stOk	k	kni:\	G@zi_F:\n				k{:\rl@		sti_o@n	brEdr@			lysi_Xf{:\r	x@ble:\vn	mi@_X_ost@r@	zi_o@_X	G{:\rn		st{:\rt	bY_ostl@ / bY_ostl		G@ro:\pm_X	p{:\r@	rip@	G{:\ld	f{r@			zw{m_=		b{d@			spriNn		vO:\d@r	z{:\z	jO:\r	sxo:\l@	lO:\tn	GO:\n		pOtn	zin	fe:\l@	mO@_Xrt@	nOx	kut_v	k{:\s@			p{:\rt			kU:\s		dAx	O:\vnt		bOst	bri_F:\f_v	{rt@	spAn_=	niw@	kAr@	z2:\n@	k2:\niNk	Uk	x@wI_ost			wOrt	kintS@	wA_rz	mE:\i_Xsxi	bY_os	li_o@_Xr@	mu_ond	dru_oU_XG@	dY_ost	w{x		li_o@Gi	xu	k{:\ldr	fO	mUst@		triNkn	bru:\r@	mu:\@_X		dI_on	z2:\r	pI_ot	2:\r@			vi:r		dyw_~	{_~:\n_X	stI_ok	brY_oG@	kAxl_=ki_o	kUm_=	d2:\r		G{s		bA?n	G@	E:\i_X@rs	kriGn		wA_rrn	vyf		u_o:\i_X	{z	xru:\n@	bu_oU_Xmki	win	yz	m{:\lk	spE:\i_Xt	ku:\@_X	kOst@r@		byGn		blUw	G@sle:\G_Xn	sUws@		sni_o@		du_F:\n	do:\pm			d{sxn	bind_Xn	
Woesten		m@	vri:\nd					Y_op_v	SI_op	krI:\@_XG_-@_~		bro_o:\@_Xt			viN@r		vi:\r	bi:\r	twI_r:\@_X	dri	@	stOk / k_X_onI_opl_=	k	k_X_oni_F:\	{zi_F:\@_X_~				vI_ond		stI_r:\@_Xn_=	brEdr@			dyvl_=	{ble:\vn	mI_r:\I_Xst@r	zI_r:\	G_-{:\r@_Xn		st{:\rt_v	bY_ostl@		@ro:\pm	p{:\r	rip@	G_-{:\l_Xd	f{r@	briN:		zw{m_=		b{d			sprIN:		vU:\d@r	z{z	jU:\r	Sx_-o:\l@	lU:\tn	GU_~:\n_X		pOtn	zin	fe:\l@	mU:\rt	nOx	kut_v	k{:\s@			p{:\r	te:\G_-@_~		kU:\s			A_r:\vnt		bOst	bri:\v	{:\rt@	spA_~n_X	niw@	kAr@	z2:\n@	k2:\niNk	o:\k	{wI_ost		lAN@		kind	wUz	dOxt@rtS@	bY_os	lI_r:\@_Xr@	mu_~nd	dro:\@_XG_-@	dY_ost	w2G_-	krOm	li_F:\@_XG_-@	xu_F:\t	k{:\l_Xd@r	fO	mOst		triNkn	bru:\r@	mu:\@_X		dI_on	z2:\r	pI_ot	2:\r@			vi:r		dy:\w_~	{_~n_X	brOk@	brY_oG_-	kAxtl_=	kUm_=	d2:\r		G_-Az		bA?n	j@	Ei_X@rs	kriG_-@_~		wU:\rn	vyf		o_r:\i_X	I_oz	x_-ru_F:\n@	bUmtS@	win	yz	m{:\k	spY_ot:\	ku:\@_X	kOst@r		plo_r:\i_X_~		blA_rw	@sle:\G_-@_~	sUwz	flUw	snI_r:\@_Xw		du_F:\@_X_~	do:\pm			d{Sx_-n	biN:	
Moorslede		m@n	vrint_v				w{:\rk	Op_v / Y_op_v	skI_op	kri_XI:\Gn		bru_o:\U_Xt			viN@r@		vi:\r	bi:\r	twi_XI:\	dri_F:\	j@	k_X_-nY_opl@	k	kni	G@zi_F:\n				kE_r:\rl_=		sti_XI:\ns	brE_rdr@			lysifE:\r	x@ble:\vn	mi_XI:\st@r	zi_XI:\	GE_r:\rn@		stE_r:\rt	be:\zm / bY_ost_Xl@		G@ro:\pm	pE_r:\r	rip@	G{:\ld	f{r@	briN:		zw{m_=		b{d			spriN:		vO:\@_Xd@r	z{s_v	jO:\r	sk_Xo:\l@	lO:\tn	GO:\n		pOtn	zin	fe:\l@	mO:\@_Xrt	nOx	kut	kE_r:\@_Xs@	Ge:\vd	lY_oxt	pE_r:\rt	te:\Gn		kO:\s		dAx	O:\vnt		bOst	bri:\f_v	{:\rt@	spAn_=	niw@	kAr@	z2:\n@	k2:\nINk	Uk	x@wI_ost		lAN@	wOrt_X	kintS@	wUz	dOxt@rk@	bY_os	li_XI:\r@	mu_ond	dro_r:\@_XG@	dY_ost	w2:\G	krOm	li_F:G@	xu	k{:\l_Xdr	fo_r:\@_X	mOst		triNkn	brur@	mu:\@_X		dI_on@	z2:\r	pI_ot	2:\r@			vi:\r		dyw_~	e:\n	stI_ok	brY_oG@ / brY_oG	kAxtl_=	kUm_=	d2:\r		G{s		bA?n	G@	E:\i_X@rs	kriGn		wO:\rn	vyf			{_oz	xru:\n@	bOmk@	win	yz	m{:\l_Xk	spEi_Xt	ku:\@_X	kOstr		plo_r:\i_Xn		blUw	G@sle:\G@_~	sUws	flUw	sni_XI:\w		du_F:\n	do_o:\pm			d{:\sk_X_-n	bind_Xn	
Hondegem		min@	vri_F:\@_Xnd				w{:\r@_Xk	Up_v	Sx_-I_op	U_~n_XtfA_~:\Nd@_Xn		bro:\@_Xt			vi_~N_X@r		fi:\r	bi:r	twE	dri	i	k_onI_opl_=	k	k_oni:\	{zi_F:\n				vI@_Xn_=t		stI_r:\@_X_~s	wid@r			dy_ovl_=	@ble:\vn		zEj@	GE_rr@_Xn		stI:\@_Xrd	bEzm@r		@ro:\pm	pE_r:\r@	ry_cp@	G_-{:\l_Xt	fa:\r@			zwEm@_Xn		b{:r			spriN@_Xn		vU:\@_Xd@r	z{z	jU:\r	Sx_-o:\l@	lU:\tn	G_-U_~:\@_Xn		pOts	zin	fe:\l@	ma:rt@	nOG_0_-	kut_v	kE_r:\@_Xs@			pE_r:\@_Xr_Xt			kU:\s		dAG_-	a:\vn			bri:\f_v	{:rt@	spAn_=	ni:\u_Xw@	kArE_rt@		k2:\niNk	o_r:\k	{wI_ost		laNk@	wo_o:\@_Xrt	ki_~n_XtS@	wUz	mES@	bY_oS	lI:\@_Xr@	mu_~_on_Xd	dro:\G_-@	dOst	w{G_-	krUm	lik@ / lix@	x_-u_F:\d	k{:\l_Xd@r	vo_r:\@_Xr	mUst@		triNkn	bru:\r@	mu:\@_X		dI_on	z2_o:\r	pI_ot	2:\r@			vi:r		dyj@_Xn	{_~n_X	brOk@	pU_~N_X	kAxtltS@	kUm_=	d2:\r		G_-Az		bakn	j@	Ej@rz	{_~n		wU:\@_Xrn	vyf		o_r:\i_X	I_oz	x_-ru:\n@	bUmtS@	win	yz	m{:\j_Xk	spY_ot	ku:\	kOst@r		plo_o:\i_Xn			{sle:\G_X_-n	sUws		snI:\u_Xw		du_~:\n	do:\p@_Xn			dASx_-n	biJ_X@n	
Kortrijk		min@	vri_on				wI:\r@_Xk	Ep_v	skI_op	kri:\@_XGn		bru:\@_X			vIN@r		vi:r	bi:r	twi:\@_X	dri:\	j@_~n_X	knE_op@_Xl / knOts@	k	kni:\	G@zi:\n_X				kI:\@_Xrl_=		sti:\@_Xn_=:	brI:\@_Xd@rd@r / brI:\@_Xd@r			lys@fEr	x@ble:\vn	mi:\@_Xst@r	zi:\@_X	GE_or@_X		stil	be:\zn_=		G@ro:\p@_Xn	pE:\r / pE:\r@	rip@	G{_o:\l	f{:\r@	briN_=		zw{:\m@n / zw{:\m_=:		b{:\d			sprIN@n		vO:\d@r	z{:\s_v	jOr	sko:\l@	lO:\tn	GO_o:\n		pOtn	zi_on	fe:\l@	mO:rt	nOx	kut	kE_o:\i_Xs@ / kE:\s@	Ge:\	lYG	pE:\@_Xr	te:\G@		kO:s		dAx	U:\vn		bOst	bri_Ff_v	{:\rt@	spAn_=:	ni:\w@	kAr	z2:\n@	k2niNk	u:\@_Xk	x@wIs / x@we:\s		lAN@	wOrt	ki:\ntS@	wA	dOxt@rj{	bYz	li:\@_Xr@	mUn	dru:\@_XG@	dY_rs	we:\x	krum	litS@	xu	k{:\l_Xd@r	fO	mOst		drINk@_Xn	bru:r@	mu:\		dYn	z2_r:\r	pYt	2_+:\r@ / 2_-:\r@			vi:r		dy:\j@n	{n_X	stIk	brYG@	f2:\l_=n	kUm@	d2:\r		G{:\s		bAk_XN	G@	E_r:\j@rs	kriG@n		wO:rn	vy_of		u:\I_X	{	xru_F:\n@	bu:\U_Xmk@	wIn	yz	m{:\l_Xk	spE:\i_Xt	ku	kOst@r		byG@n / Ge:\v@n		blo_o:\w / blO_r:\u_Xw	G@sle:\G_X_0n	so_o:\s / sO:\u_Xs@	flo_ow	sni:\@_X		du:\n	du:\@_Xp@n			d{:\sk@n	bInd@n	
Bellegem		mEn@	kAm@rU_o:\@_Xt				wIrk	Ep_v	ske:\p	kre_F:\n		bru_+:\@_X			vIN@r@		fi:r	bi:r	twI@	dri	i	klE:\pl@_X	k	k_Xni:\	G_-@zi:\n				kE:\r@_Xl / slAmp@		stI@n	brI:\@_Xd@r@ / dE?@_Xr@			lysifE:\r	G_X_-@ble:\vn	mI@st@r	zi:\@_X	GE:\rn		stel	be:\zn_=		G_-@ro_r:\pm_X	pE:\r	rEp@	G_-{_o:\lt	f{:\r@	brENn_X		zw{mn		b{:\d			sprI:\Nn_X / sprI:\n_X		vO_+@_Xd@_Xr@	z{:\z	jOr	sko:\l@	lO_+:\tn	G_-O_+n		pO_+tn	zEn	fe_ol@	mO@_Xrt@	nOx	kut	kE:\@_Xs@	G_-e:\f		pE:\@_Xrd	te:\@_X		kO:\@_Xs		dAx@_X			bO_ost	brif_v	{rt_-@	spAn:\	niw@	kAr@	z2n@	k2_onINk	u:\@_Xk	@_Xwe:\st		lA:\N@		kI_ontS_X@	wAz	mE:\i_Xsk	bOs	lI:\@_Xr@	mU_~:\nd	dru_c:\@_XG_-@	dYst	wYG_0_-	krUm / skI:\@_Xf	le_otS_X@	Gu:\	k{:\ld@r	fu_o_c@_X	must@		drINk_Xn	bru:\r@	mu_c		dYn@	z2_r:r	pY_ot	2_r:\r			vi:r		d2_o:\@_Xn_X	En	stIk	brY:\G_-_X@_X	f2:\ln	kUm_=:	d2:\r		G_-{:\s		bAk_XN	G_-@	E:\i_Xj@rs	krE:\G_-@n		wO:\rn	vy_of		u_o:\i_Xj	{	xru_cn@	bu:\@_Xmk@	wEn	y_oz	m{:\lk	spE_ot	ku	kO_+st@r		b2_rG_~_-		blO:\u_Xw	G_X_-@_Xsle:\G_-n	sO:\u_Xs	flI:\@_Xw@	snI:\@		dun	du_c:\@_Xpm_X			d{:\sx_X@_Xn	bIn_=:	
Steenbeek	En_=	mi_~n_X	kEnE_os@ / vri_F:\nt_v	blum_=	spI_on_=	mAs_jin_=	wE:\rk	Up_v	Sx_-I_op	u_~_on_XtfA_~:\n_Xd_on	vI_oniG_-d	bro_o:\@_Xt	tE_om@rmA_~n	bI_otSu_ot	vi_~:\@_X_~r	fAbrik@	fi:r	bi_F:\r	twIj	dri	{	stOk / k_onY_opl_=	k	k_oni:\	{zi_F:\@_X_~	va:G_-@r	kAskE_rt@	pAr@bro_o:\@_Xt	kE:rl_=	wid@	stI_~_r:\@_X_~s	wid@r	witst@	stAty_o:\	lys_j@fE:r	{_rble:\vn	mI_r:\@_Xst@r	zI:\j_X@	G_-I_o:\r@_~	sI_r:\@_XrI_~_on_Xz@ke:\l@	stI:\@rt_v / stOk	bI_ozm@r	nI_r:\@_~	{ro:\pn	pE_rr	ri_Op@	G_-{:\l_Xt	f{r@		wy_of_v	zw{m_=	stE_o:rk	b{d	Up{fn	m{ts@_XnU:\r	spri:\@_X_~	styt@ / bOtrAm	vU:\d@r	z{_rs_v	jU:r	s_jx_-o:\l@	lO:\tn	GU_~:\n_X	wU:\t@r	pOts_v	zin	fe:\l@	mU:rt	nOx	ku_od	kE_r:\r_Xs@			pE:r_Xd		zwA:\l_=_Xm@_Xn	kO:s	mOt9:r	dAG_-	A:\vn	man@x_-@	bOst	bri_F:\f	{:rt@	spAn_=	ni:\w@	vwOt2:\r@ / kArE_r:\t@	z2:\n@	k2:\niNk	o_r:\k	{wI_ost	ro_o:\@_Xzn	lA_~:\G_X_-@	wo_o:\@_Xrt	ki_~ntS@	wA_-z	mI_oS@	u_ot	lI_r:\@_Xr@	mu_~n_Xd	dro:\G_-@	dOr_Xst	strO:\@_Xt@	krOm	lix_-@	x_-u_F:\t	k{:\ld@r	fO	must@	Os@blu_F:\t:\	triNkn	bru:r@	mu:\@_X	kI_o:\rn@m{:\l_j_Xk	dI_on	z2_o:\r	pI_ot	2:\r@	ita:\l_j_Xj@n	b{_r:\rG_-@n	vi:r	spy_oG_-n	dy:\j@n	{_~	brOk@	brY_oG_-	kAstl_=tS@	kUm_=	d2:\r	n_=:\U:\j_~	G_-Az	brU:\w@r	bAk_vn_=	j@	E:\j@rs		mArt	wU:rn	vy_of	e:\kl_=n2:\tn	o:\i_X	I_oz	x_-ru:\n@	bUmtS@	win	y_oz	mA:\l_j_Xk	spY_ot	ku:\@_X	kOst@r	b@r"wI:\t@		dy_ots_jx_-@	blUw	{sle:\G_-@_~	sUws		snI_r:\u_Xw	ste_o:\j_X	du_F:\n	do_c:\pm	dUpfu_~_on_Xt@		daSx_-n	bi_~J_X@n	{bu_oN@n
Nieuwkerke		mI_rn@	kAm@R\O:\@_Xd				w{:\R\@_Xk	Y_op_v	SxEp	kR\I_r:\@_XG_-@_~		bR\o_o:\@_Xt			vI_rN@R\		vi:R\	bi:R\	twI:\@_X	dR\i	{	stOk	k	k_oni:\	@zi_~:\@_X_~				kE:\R\l		bR\ikn	bR\Ed@R\			ly_oS@fER\	@ble:\vn	mI_r:\@_Xst@R\	zI_r:\@_X	GE:R\n		stE:R\t_v	be:\z@_Xm@		{R\o:\pn	pE:R\	R\ip@	Ga:\l_X_-d	f{R\@			zw{m_=		b{d			spR\iNn		vO:\d@R\	z{:\z	jO:R\	Sxol@	lO:\tn	GO:\n		pOtn	zin	fe:\l@	mO:\R\t@	nOx	ku_od	kE:\s@	GEvd	lY_oxt	pE:\R\t	te:\G_X@_~		kU:\@_Xs		dAG_-	U:\vn		bOst	bR\i_F:\f_v	{:R\t@	spAn_=	ni:\w@	k{R\@	z2_o:\n@	k2:\nI_rNk	o_ok	@wEst		lAN@		ki_~_rn_XtS@	wUz	mES	bY_os_v	lI_r:\@_XR\@	mu_~_ond	dR\o:\G@	dY_ost	w2_o:\G	kR\Om	litS@	xu_Ft	ka:\l_X_=d@R\	fOR\_X	mOstn		tR\iNkn	bR\u:\R\@	mu:\		dEn	z2_o:R\	pEt	2_o:\R\@			vi:R\		dy:\w_~	e_o:\	bR\Ok@	bR\Y_oG_-@	kAxtl_=	kUm	d2:\R\		G{z		bAk_X_on	j@	Ej@R\s	kR\iG_~_-@_~n		wU:\@_XR\n	vy_of		o_o:\i_X	Ez	xR\u:\n@	bOmtS@	wi_~_r	y_oz	ma:\k	sp9t	ku:\	kOst@R\		plo_o:\i_Xn		blUw	@sle:\G_X_-@_~	sUws	flUw	snI_r:\@_Xw		du_~:\@_X_~	do:\pm			d{Sx@_~	bi_on_=	
Nazareth		mE:\n@	vrind				wIr@_Xk	o:\p_v	sxep	kre:\@_Xn		bry:\@_Xt			vIN@_Xr@_X		fi:\r	bi:\r	twI	dr{:\	I	knI:\@_Xpl@_X	k	kni:\n	@zi:\n				kE:\rl		sti:\@_Xn:	bri:@_Xr@			lysifE:\r	@_Xble:\vn	mi:\st@r	zi	GE:\@_Xrn@		ste:\l	b{:\sm		@_Xro:\pm	pE:\@_Xr	rE:\p@	GE_o:\ld	f{:\r@	brENn		zwE_o:\mn		b{_o:\d			sprINn		vU:\@_Xd@r	z{:\s	jOr	sxo:\l@	lQ:\@_Xt@	GUn		pUtn	zEn	fe:\l@	mUrt@_X	nUx	kA:\	kE:\@_Xs@	Ge:\		pErd	t:\e:\G@		kQ:\@_Xs		dA:\@_X	U:\vnt		bU:\st	bri:\f_v	{rt@	spAn:	ny_F:	k{:\r@	z2n@	k2nINk	y@k	x@we:\st		lA_~:\NG@		kI:\@_Xnd@k@	wA:\z	dU:\xt@rk	bU:\s	li:\@_Xr@	mUnd	dry:\@_X	dY:st	wE:\@_Xx	krUm	li:\tS_X@	Gu:\	kE_o:\ld@_Xr@_X	v@r	mu:\st		trINk_Xn	bru:\r@	mu:		dY:\n	zy:r	pY:\t	y:\r@			vir		dY:\@_Xn	{	stI@k	brY:\@_X	f2:\ln	kUm:	d2:\r		G{:\s		bAk_Xn	G@	{:\@_Xrs	krE:\@_Xn		wU@_Xrn	vE:\f		2:\	{:\s	xru:\n@	by@mk@	wEn	Y:\z	mE_o:\lk	spE:\t	ku_F	kU:\st@r				blA:\	G_X@_Xsme:\tn	s{:\s	flA_F:	sni:\@_X		du:\n	dy:\@_Xpm			d{:sn	bI:\@_Xn:	
Bottelare	I:\@_Xn:	mEn@	vrInd	blo:\m@	spI:\@_Xn:	m@SIn:	wIrk	Op_v	sxep	kre:\@_X	b@sx{m@l	bry:\@_Xt	t{m@rmA:\n	spl{_~nt@r	vIN@r@	f@bri:\k	fIr	bi:\r	twi	dr{	E	klI:\pl@	k	k_XniN_X	G@zi:\n	ko_c:\p@_XjU_r:\@_Xr@	mY:\ts@	pA:\d@stul	kIrl@ / k@de:\	bri:\@_X	sti:\@_Xn	bri:@_Xr	bri_XItst@	stAmbeld	lysi_XfE:\r	G_X@_Xble:\vn	mi:\@_Xst@r	zi:\@_X	GI:\@_Xr@		ste:\l	b{:\sm@	ni_X@nt	G@ru:\pn_X	pE:\@_Xr	rE:\p@	Gald	f{:\r@	brENn	wE:\f_v	zw{:\mn	stI@_Xrk	b{_o:\d	o_c:\p{:\fn	m{:\ts@r	sprINn		vO_c:\r@_X / vO_c:\d@r	z{:\s	jU_r:\@_Xr	sxo:\l@	lU_r:\@_Xt@	GU_rn	wU:\@_Xt@r	pU:\tn	zEn	fe:\l@	mOrt	nOx	kA:\	kI:\@_Xs@	Ge:\f_vd	lYxt	pErt		zwUlm	kU:\@_Xs	mOt2:\r		O_cvnt	mA:\n@k@	bU:\st	bri:\f	{:\rt@	spAn:	nI_F:\	k{:\r@	z2:\n	k2nINk	Yk	x@we:\st	ry:\@_Xzn	lAN@		kInts_j@	wA:\z	dU:\xt@rk@_Xn	bUs_j	li:\@_Xr@		dry:\@_XG@	dY:st	wI:\@_Xx		lits_j@	xu:\	k{_old@r	f@r	mu:\st	U:\snblu:\t	trIN?n	bru:\r@	mu:\	kE@_Xr@_XmE_o:\lk	dY:n	zy:\r	pY:\t@	y:\r@	ItO:\l@	bI@rG@n	vir	spO:\@_Xn	dO:\@_Xn	{:\n	stI@_Xk	brY:\G@_X	f2:\ln	ko_c:\m@	d2:\r	n:Q:\@_Xn	G{:\s	brO_c:\@_Xr	bAkn	G@	E:\@_Xrs	krE:\@_Xn	mOrt	wU_r:\@_Xr@	vE:\f	i:\@_Xkls	2:\	{:\s	xro_r:\n@	bYmk@	wEn	Y:\z	ma:\lk	spi_XIt	ku:\	kU:\st@r	kYrt@wU_r:\@_Xn	pl2:\n	dYtsx@rs_v	blO_c:\	G@sle:\G_X@_Xn	sO_c:\s	flO_c:\	sni:\@_X	stA:\t	du:\n	dy:\@_Xpn	dy@pfUnt@	sOldU:\@_Xtn	d{:\sn	bI:\@n:	G@bUn:
Aalst		m{n@	vrintS				w{:rk	Up_v	sxip	krE:i_XG@		bru:E_Xt			viJ@r		fi:r	bi:r	twi:@_X	drU:E_X	a	klip@r	k	k_Xni:\n	G@zi:n				kAde:\		sti:@_Xn:	bri:@_Xr			liSAf{:\r	x@blE:\i_Xv@n	mi:@_Xst@r	Zi:@_X	GE:\r@		stE:\i_Xl	bEsUm		G@ru:\p@n	pE:r	rU:E_Xp	xEltS_X	f{:\r	briN@n		zwEm@n		bEd			spriN@n		vUj_X@r	zEs	jU:r	sxo:l	lUt@	GQ:n		pUtn	z{n	fE:\i_Xl	mE:rt	nUx	kA:t	kE:s	xe:\f_vd	lixt	pE:rt	t:\e:\G@		kE:s		dAx	A:\u_X_cv@t		b{st	bri:f_v	{rt	spAn@	ni:v@	k{:\r@	zu:\n	keniNk	u:\E_Xk	x@we:st		lAN@	wo_c:rt	kin@k@ / kintS	wAz	dUxt@rk@n / mAsk@n	bUs	li:r	mUnt	dru:E_Xx	dEst	wEx	krUm	li:k@	xu_c:\	kElj_X@r	fe:\	mUst		triNk@	bru:r	muj_X		din@	zi:r	pit	i:r			vi:r		dA:v@n	Em@	stik	briG@	fe:ln	kUm@	de:r		G{s		bAk@n	G@	U:\{_Xr@	krU:@_XG@n		wQ:r@	vU:E_Xf		u	Es	xru_c:\n	bymk@	wU:\@_Xn	Q:z	mElk	spitS_X	kuj_X	kUst@r		bu:\E_XG@n		blA:t	x@slE:\i_XG@n	sA:z	flA:	sni:		du_c:n / duN	du:E_Xp@n			dEsn	bin:	
